time,sinuosity
0.0,1.0
0.0,1.002264749038836
2.0,1.0013401243549447
4.0,1.0008669340201617
6.0,1.0005841088747098
8.0,1.0004100715496338
10.0,1.0002996838121991
12.0,1.0002274615972917
14.0,1.0001787186562099
16.0,1.0001448092379697
18.0,1.0001205280142254
20.0,1.0001026664609218
22.0,1.0000891984319127
24.0,1.0000788128715665
26.0,1.0000706408192335
28.0,1.0000640928305409
30.0,1.0000587601864888
32.0,1.0000543536044124
34.0,1.000050664409232
36.0,1.0000475394179171
38.0,1.0000448643629138
40.0,1.0000425527383257
42.0,1.0000405381573145
44.0,1.000038769025908
46.0,1.0000372047725898
48.0,1.000035813140417
50.0,1.000034568216327
52.0,1.0000334489793072
54.0,1.0000324382187278
56.0,1.0000315217200009
58.0,1.0000306876454785
60.0,1.0000299260595231
62.0,1.0000292285609718
64.0,1.0000285879964175
66.0,1.0000279982347775
68.0,1.000027453988723
70.0,1.000026950672205
72.0,1.000026484286007
74.0,1.000026051325176
76.0,1.0000256487036598
78.0,1.000025273692603
80.0,1.000024923869435
82.0,1.000024597075705
84.0,1.0000242913818826
86.0,1.0000240050578513
88.0,1.0000237365480151
90.0,1.0000234844501856
92.0,1.0000232474976032
94.0,1.0000230245435198
96.0,1.000022814547937
98.0,1.0000226165661186
100.0,1.0000224297386342
102.0,1.0000222532826493
104.0,1.0000220864842984
106.0,1.000021928691968
108.0,1.0000217793103736
110.0,1.0000216377952906
112.0,1.0000215036488747
114.0,1.0000213764154822
116.0,1.0000212556779133
118.0,1.0000211410540547
120.0,1.000021032193833
122.0,1.0000209287764694
124.0,1.0000208305080007
126.0,1.0000207371190022
128.0,1.0000206483625453
130.0,1.0000205640123083
132.0,1.0000204838608542
134.0,1.000020407718075
136.0,1.0000203354097288
138.0,1.000020266776123
140.0,1.0000202016709008
142.0,1.000020139959906
144.0,1.0000200815201532
146.0,1.0000200262388783
148.0,1.0000199740126494
150.0,1.0000199247465607
152.0,1.0000198783534744
154.0,1.0000198347533362
156.0,1.0000197938725188
158.0,1.0000197556432493
160.0,1.0000197200030472
162.0,1.0000196868942262
164.0,1.0000196562634287
166.0,1.0000196280611942
168.0,1.0000196022415695
170.0,1.000019578761734
172.0,1.0000195575816875
174.0,1.0000195386639108
176.0,1.000019521973117
178.0,1.0000195074759801
180.0,1.000019495140896
182.0,1.0000194849377813
184.0,1.0000194768378634
186.0,1.0000194708135206
188.0,1.0000194668381137
190.0,1.0000194648858423
192.0,1.000019464931618
194.0,1.0000194669509532
196.0,1.000019470919849
